ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Gloss,MWE_Structure,Main_Entry,Morphology,Variant_Form
a_1,tio,a,art,buaku ; vaakukan_1,ART2.SG,,,a,=a; a=
a_2,tio,a,art,kamisi_3 ; naono_1 ; rupi,ART3.PL,,,a,=a; a=
aa,tio,aa,interjection,aigee_1,,,,,
aami,tio,aami,n2,tau_puana,,,,,
aasun,tio,aasun,n2,beana_1 ; nasi ; pasu_araa,,,,,
aba_1,tio,aba,n2,abana_1 ; komano_sinivi ; vagana,,,,,
aba_2,tio,aba,pron,tobene ; vuaba_2,,,,,
abaaba_1,tio,abaaba,vi,aba_1,RED-person,,,aba-aba,
abaabana,tio,abaabana,vi/vt,kaposi,RED-jump,,,aba-abana,
abaabana_tavusu,tio,abaabana tavusu,vi.constr,tavusu_1,RED-jump go.out,vi - vi,,aba-abana tavusu,
abana_1,tio,abana,n2,aba_1 ; kiria,,,,,
abana_2,tio,abana,vi,supe ; taninii,,,,,
abana_bebeera,tio,abana bebeera,n2.constr,kaku_1,men RED-big,n - adj,,abana be-beera,
abana_beiko,tio,abana beiko,n2.constr,beiko,men child,n - n,,abana beiko,
abana_gunaha_kahi,tio,abana gunaha kahi,vt.constr,gunaha,jump go.down from,vi - vi - prep,,abana gunaha kahi,
abana_hiava,tio,abana hiava,vi.constr,hiava,jump go.up,vi - vi,,abana hiava,
abana_tatana,tio,abana tatana,vt.constr,tatana,jump meet,vi - vt,,abana tatana,
abana_vamate,tio,abana vamate,vi.constr,vamate,jump ADVR-dead,vi - adv,,abana va-mate,
abana_vo,tio,abana vo,vi.constr,abana_2,jump GOAL,vi - prep,,abana vo,
abe,tio,abe,vi/vt,LX000055,,,,,
abeabe,tio,abeabe,n2/n3,vaabeabe,reflection,,,abeabe,
abuabuhu,tio,abuabuhu,n2,hana_taataana ; toutou_1 ; vaagum_2,,,,,
ae,tio,ae,conj,bara_1 ; bo ; me_1,and1,,,ae,
aeae,tio,aeae,adj,vaaeae,,,,,
aeana,tio,aeana,n2,,,,,,
aga,tio,aga,n3,kopihoo_1 ; potee_1 ; sinivi_suuna,,,,,
agaa,tio,agaa,vi,vaagaa,,,,,
agaagaa,tio,agaagaa,vi,pasuaboon ; roovu ; sunuu_taataana,RED-float,,,aga-agaa,
agevana,tio,agevana,n3,aniva ; bun,,,,,
agomo,tio,agomo,vt,agomo ; avuhu_2 ; beana_1 ; iri,,,,,
aha,tio,aha,vt/vd,ahaaha ; iaha ; vaahaaha,,,,,
aha_ni,tio,aha ni,vt.constr,anoo ; averu ; karikaripuu ; tarudaha,rub APPL,vt - appl,,aha ni,
aha_sosopene,tio,aha sosopene,vi.constr,aha,rub pot,vt - n,,aha sosopene,
ahaaha,tio,ahaaha,vt,aha ; avuin_1,RED-rub,,,aha-aha,
ahaahavuin,tio,ahaahavuin,n2,,,,,,
ahaik,tio,ahaik,neg,ahiki_1,,,,,ahiki
ahe_1,tio,ahe,vi/vt,ahe_2,,,,,
ahe_2,tio,ahe,adv,ahe_1 ; avuhu_ahe ; kapa_ahe ; kasi_ahe ; tara_ahe ; upehe_ahe,,,,,
ahe_3,tio,ahe,vt,,,,,,
aheahe_1,tio,aheahe,vi/vt,aheahe_2 ; ta_aheahe,,,,,
aheahe_2,tio,aheahe,n3,baitono,,,,,
aheahe_3,tio,aheahe,vt,ahe_3,RED-read,,,ahe-ahe,
ahiahi,tio,ahiahi,n2,hoovu ; ihu_1 ; karivana_1 ; pana,,,,,
ahiahivi,tio,ahiahivi,n3,toraha,,,,,
ahiki_1,tio,ahiki,neg,hiki_1,not.exist,,,ahiki,
ahiki_2,tio,ahiki,interjection,ahiki_1,,,,,
ahiki_be,tio,ahiki be,neg.constr,be_2,not.exist COMPL2,neg - conj,,ahiki be,
ahiki_kurusu,tio,ahiki kurusu,neg.constr,kokoraa,not.exist indeed,neg - adv,,ahiki kurusu,ahiki kurus
ahiki_ta_aba,tio,ahiki ta aba,neg.constr,aba_1 ; ahiki_1 ; ta_3,not exist NSPEC2.SG person,neg - art - n,,ahiki ta aba,
ahiki_ta_peha,tio,ahiki ta peha,neg.constr,ahiki_1 ; peha_1,not.exist NSPEC2.SG one2,neg - art - numeral,,ahiki ta peha,
ahiki_ta_peha_aba,tio,ahiki ta peha aba,neg.constr,aba_1 ; peha_2 ; ta_3,not.exist NSPEC2.SG one person,neg - art - numeral - n,,ahiki ta peha aba,
ahiki_ta_taba,tio,ahiki ta taba,neg.constr,ahiki_1 ; ta_3 ; taba_1,not.exist NSPEC2.SG thing,neg - art - n,,ahiki ta taba,ahaiki ta taba
ahiki_vakisi,tio,ahiki vakisi,neg.constr,vakisi_2,not.exist yet,neg - adv,,ahiki vakisi,
ahio,tio,ahio,n2,merina,,,,,
ahono,tio,ahono,n2,kara_ahono,,,,,
ahuhu,tio,ahuhu,vt,geregerete ; iobo,,,,,
aia,tio,aia,interjection,,,,,,
aigee_1,tio,aigee,interjection,,yes,,,aigee,aige
aigee_2,tio,aigee,vi,vaaigee,,,,,
aisi,tio,aisi,n3,kaakaru_1 ; kara_naono,,,,,ais
aito_1,tio,aito,n2,vioga,,,,,aitoo
aito_2,tio,aito,vi,aito_1,,,,,
akaaka,tio,akaaka,adj,vaakaaka,,,,,
akoita,tio,akoita,vi,vaanoto_suraa_ni,,,,,
am,tio,am,pron,ameam ; eam ; kameam ; maa_1,2PL.PRON,,,am,
ama,tio,ama,object marker,amanaa ; amanam ; amaraara ; anam ; ara_2 ; kama,1SG/PL.OBJM,,,ama,
amaa,tio,amaa,clitic constr,dorana ; maa_2 ; peha_1,ART2.SG=PLM,art = n,,a=maa,
amaa_meha_maa_N,tio,amaa meha maa N,n2.constr,bon_3 ; maa_2 ; meha_1,ART2.SG=[PLM other2] [PLM N],art - n - determiner - n - n,,a=maa meha maa N,
LX000001,tio,amaa meha...amaa meha,n2.constr,maa_2 ; meha_3,ART=PLM some...ART2=PLM some,art = n - n ... art - n - n,,a=maa meha...a=maa meha,
amaanam,tio,amaanam,clitic constr,anam,1SG/PL.OBJM=OBJM=1PL.EX.PRON,object marker = pron,,ama=a=nam,amanam
amanaa,tio,amanaa,clitic constr,anaa,1SG/PL.OBJM=1SG.PRON,object marker = pron,,ama=naa,
amanam,tio,amanam,clitic constr,ama ; anam,1SG/PL.OBJM=1PL.EX.PRON,object marker = pron,,ama=nam,
amaraara,tio,amaraara,clitic constr,ama ; raara_1,1SG/PL.OBJM=1PL.IN.IPFV=1PL.IN.PRON,object marker = tam = pron,,ama=ra=ara,
amarao,tio,amarao,n1/n2,upee_2,,,,,
amarao_ni,tio,amarao ni,vt.constr,amarao ; upee_2,guardian APPL,vi - appl,,amarao ni,
ameam,tio,ameam,clitic constr,am ; amevuam ; anomameam ; avameam ; eam,2PL.OBJM=2PL.PRON,object marker = pron,,ame=am,
Amerika,tio,Amerika,n2,vuu_tom_sinana,,,,,
amevuam,tio,amevuam,clitic constr,ameam,2PL.OBJM=IMM=2PL.PRON,object marker = tam = pron,,ame=vu=am,
amisina,tio,amisina,n2,kabirohi,,,,,
amoba,tio,amoba,n1/n2,,,,,,
amuhu,tio,amuhu,vt,,,,,,
an_1,tio,an,pron,ean ; kivuan ; mean ; vuan_1 ; vuan_2,2SG.PRON,,,an,
an_2,tio,an,vi/vt/vd,ani,,,,,ani
ana_1,tio,ana,n3,ana_suva ; ruhu,,,,,
ana_2,tio,ana,vi,LX000065,,,,,
ana_gunaha,tio,ana gunaha,vi.constr,LX000065 ; vakom_vakikis,grow.roots go.down,vi - vi,,ana gunaha,
ana_overe,tio,ana overe,n3.constr,overe_1 ; vahogisi,root coconut.palm,n - n,,ana overe,
ana_suva,tio,ana suva,n3.constr,suva_1 ; suva_2,root poison.fish,n - vi,,ana suva,
anaa,tio,anaa,pron,LX000003 ; anam ; naa ; vanaa_3,OBJM=1SG.PRON,,,a=naa,
anaana,tio,anaana,vi,viakono,RED-grow.roots,,,ana-ana,
anahi,tio,anahi,n2,kareepana,,,,,
anahuna,tio,anahuna,n3,peesi_1 ; puhana_hopo,,,,,
anam,tio,anam,clitic constr,ama ; amanam ; kamanam,OBJM=1PL.EX.PRON,object marker = pron,,a=nam,
anan,tio,anan,vt,ani ; aniani_1,RED-eat,,,an-an,aniani
anan_aba,tio,anan aba,vi.constr,aniani_aba,RED-eat person,vt - n,,an-an aba,
anan_kahi,tio,anan kahi,vt.constr,ani_kahi,RED-eat from,vi - prep,,an-an kahi,
