ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Sense_IDs
XV000001,tio,A iana a tokeree bara bebeahu.,,,The fish (i.e. the hoohoa needlefish) is slim and long.,,,Jub 02W 012,SN000001 ; SN000395 ; SN004938
XV000002,tio,"A buaku a vasu a bebeahu, ...",,,"Two long stones, ...",,,Pur 05E(Eno) 086,SN000001
XV000003,tio,A vaakukan a beiko a meha moon.,,,The third child was another girl.,,,Sii 07W 009,SN000001 ; SN005303
XV000004,tio,A naono a bebeera koa to sun rori.,,,(It is) only the big trees that stand (there).,,,Sii 10W 070,SN000002
XV000005,tio,A kamisi a beera to pakupaku anaa.,,,The pains were torturing me.,,,Hoa 02E(Joy) 082,SN000002 ; SN001568
XV000006,tio,A rupi a bero kurusu to vahuhu nana a goroto.,,,The turtle lays very many eggs.,,,Naph 01W 016,SN000002 ; SN000475 ; SN003914
XV000007,tio,"Aa, a otei a mataa rakaha.",,,"Yes, a very nice man.",,,Pur 01R(Pur) 538,SN000003
XV000008,tio,"Menam paa teitei tea kikira tea aami vaa Amerika, New Zealand ae Australia.",,,"And we were under the care of the American, New Zealand and Australian army.",,,Tav 01E(Joy) 024,SN000004
XV000009,tio,"Menam taatagi a maamihu taba, mea aami tara vakavara amanam.",,,"We got everything prepared, and the army checked us all.",,,Pur 02R(Pur) 102,SN000004 ; SN004327
XV000010,tio,"A aasun a iana a beera. O iana bari na teitei koa maari namana, na aniani rori bona vahara iana vaa namana. O vahara aasun mee na teitei pete rori namana. A iana bona na aniani ria tavaan. A iana bona a koma kakaavoo bara a rapanae mee na kakaavoo nana. A toon nae he o rahirahi paru bara rahirahi kakaavoo.",,,"The tuna is a big fish. These fish only stay in the ocean and eat little ocean fishes. The small tunas also stay in the ocean. This fish is eaten by the people. It has a grey belly, and its sides are also grey, but its back has black and grey stripes.",,,Vaa 09W 002-008,SN000005
