ID,Description,Entry_ID,Comment,Grammar_Comment,Media_IDs,Semantic_Domain,Synonym,alt_translation2
SN000001,"basic singular specific article introducing NPs headed by a n2 noun, also introducing adjectival, numeral and determiner phrases related to NPs headed by a n2 noun.",a_1,,,,grammar,,
SN000002,"basic plural specific article introducing NPs headed by a n3 noun, also introducing adjectival, numeral and determiner phrases related to NPs headed by a n3 noun.",a_2,,,,grammar,,
SN000003,yes,aa,,,,unclassified,,
SN000004,army,aami,,,,groups & collections,,
SN000005,tuna,aasun,,,3a54953191332ee5d169faac5475f43c ; db7a8861323002456bce180bd6ac0438,"animals, fishes",,Thunnus
SN000006,person,aba_1,,,,persons,,
SN000007,one; someone,aba_2,,,,grammar,,
SN000008,"be like a person, appear to be a person",abaaba_1,,,,persons,,
SN000009,be full of people,abaaba_1,,,,,,
SN000010,jump (many times); (of many sea bugs) jump at people,abaabana,,,122edee8621a7996d589df416f4bff49,motion,,
SN000011,jump out,abaabana_tavusu,,,,motion,,
SN000012,men; people,abana_1,Collective nouns are formally singular; i.e. <abana> takes the singular article of the 2nd class <a> ART2.SG.,,,persons ; groups & collections,,
SN000013,jump,abana_2,,,,motion,,
SN000014,big men; chiefs,abana_bebeera,,,,culture,,
SN000015,young men,abana_beiko,,,,persons,,
SN000016,jump down from something,abana_gunaha_kahi,,,,motion,,
SN000017,jump up,abana_hiava,,,,motion,,
SN000018,jump towards somebody,abana_tatana,,,,motion,,
SN000019,jump into one's death,abana_vamate,,,,motion,,
SN000020,jump somewhere,abana_vo,,,,motion,,
SN000021,(of plants) creep; wind around other plants,abe,,,,plants ; growth,,
SN000022,reflection; picture,abeabe,,,,unclassified,,
SN000023,kind of catfish; cobbler,abuabuhu,,,c4b5bb26d5ea5a8966bc38d9b7303f0a,"animals, fishes",,Plotosidae
SN000024,"and, conjoining a third coordinand in the case of three coordinands in a single NP",ae,,,,grammar,,
SN000025,"and, conjoining phrases",ae,,,,,,
SN000026,light (in weight),aeae,,,,physical properties,,
SN000027,iron,aeana,,,,substances,,
SN000028,outrigger; float of the outrigger of a canoe,aga,,,f14357d242ddf1699f1862ee6d06b328 ; 04d2fb56f899f298702045ec9e9882c1,boats & other means of transport,,
SN000029,(of canoes) float; (of water) be stagnant,agaa,,,,motion,,
SN000030,fish while sitting in a floating canoe,agaagaa,,,e881ef42eb1dac916ee18e32f0b9ae09,fishing,,
SN000031,"Pink Siris, a small deciduous tree with yellow wood whose leaves close at night",agevana,,,85d2a811291450c13076b6b18577dcaa ; 57dfcedbce3d3f8183974fdc0aa8ba79 ; bc0ef461460bd1fb7584b26dd2e8df91,plants,,albizza species
SN000032,put something into the mouth; swallow something,agomo,,,,body & health,,
SN000033,rub something; scrub something; polish something (with something); brush (teeth); grate something,aha,,,2331ef1e65db3abdc691535f29eb3573 ; 38698e38bda49df9a2afff55c7a350ec,unclassified,,
SN000034,rub something (against something),aha_ni,,,6f823686d5ceb21e05fe3bd5ba1204f8 ; f2e01b204bb311110d725a203bb86574 ; 474f8a83e72f37739cc952f73e787a5a,unclassified,,
SN000035,scrub pots,aha_sosopene,,,8b1a4e8c5dd90aef4a653c7398058a7b,unclassified,,
SN000036,rub; scrub; polish,ahaaha,,,7020dee3e4b3a6f00ae46d1f15563456,unclassified,,
SN000037,kind of shellfish,ahaahavuin,,,db36010cc1fb246d63d04719b28c1cb5,"animals, shellfish",,
SN000038,not exist,ahaik,,,,negation,,
SN000039,"count, count something",ahe_1,,,,quantification,,
SN000040,recognising,ahe_2,"<ahe> 'recognising' seems to be cognate with the verb <ahe> 'count'. As it only occurs in the modifier position after the head of the verb complex, it is classified as an adverb.",,,perception,,
SN000041,read something,ahe_3,,,125d139c1b494bbe5499ac38bc8e551d,cognition ; communication,,
SN000042,sing,aheahe_1,,,,communication,,
SN000043,song; singing,aheahe_2,,,,communication,,
SN000044,read something,aheahe_3,,,,cognition,,
SN000045,kind of emperor,ahiahi,,,045583cc28f5741bc646966a6da3cfc4,"animals, fishes",,Lethrinidae
SN000046,"horsetail tree, beefwood, beach she-oak, hardwood tree with long, needle-like leaves, grows in coastal and inland areas",ahiahivi,,,d100214ab2363e35a83301a2e201012b,plants,,casuarina equisetifolia
SN000047,there is not,ahiki_1,,,,negation,,
SN000048,no,ahiki_2,,,,negation,,
SN000049,it is/was not the case that somebody does something,ahiki_be,,,,negation,,
SN000050,"not at all; indeed, there is not; it isn't at all the case",ahiki_kurusu,,,,negation,,
SN000051,nobody,ahiki_ta_aba,,,,negation,,
SN000052,none,ahiki_ta_peha,,,,negation,,
SN000053,nobody,ahiki_ta_peha_aba,,,,negation,,
SN000054,there is nothing; there isn't anything,ahiki_ta_taba,,,,negation,,
SN000055,not yet,ahiki_vakisi,,,,negation,,
SN000056,green lizard,ahio,,,500aa9aedf2ed8f17402c8f398b37121,"animals, reptiles",,
SN000057,"green, grassy seaweed",ahono,,,e5b11c7bd334982335641cb162419f98,plants,,
SN000058,squeeze out the water (of a sea-sausage),ahuhu,Only one example in the corpus,,cc52019c33bfe0d691e34a7e0616fe4a ; 3648573d7815f4d6f9b9d89685357757,removal,,
SN000059,hey,aia,,,,unclassified,,
SN000060,yes,aigee_1,,,,unclassified,,
SN000061,"agree; say ""yes""",aigee_2,,,,communication,,
SN000062,kind of thorny vine,aisi,,,b11321b0dcaeae64dac9505d6957d0b4,plants,,
SN000063,"collection of plant materials (leaves, roots and bark of trees) made into a herbal mixture and used for initiation ceremonies, or for washing newborn babies as a protection against major diseases and/or evil spirits; or as poison for magic; healing substances; medicine",aito_1,,,,culture,,
SN000064,collect herbs,aito_2,,,,culture,,
SN000065,"be half-empty, not sufficiently filled up",akaaka,,,,containers,,
SN000066,(of wood) turn black with age,akoita,,,dd097f380f7111ddcabb238ff4104ad1 ; 2c4a3b3b48ec920aaa29db3f795e8790,plants,,
SN000067,you (pl.),am,Basic 2nd person plural pronoun,,,grammar,,
SN000068,object marker for the first person singular and first person exclusive and inclusive plural,ama,,,,grammar,,
SN000069,basic singular article of the 2nd class attached to the plural marker,amaa,"The plural marker <maa2> is classifies as a noun of the 2nd class and not as a quantifier, because it determines the selection of the article class. Nouns of the 2nd class, e.g. <iana> 'fish', <ruene> 'water' as well as nouns of the 3rd class, e.g. <kaku> 'kind' and <hoi> 'basket' take the articles of the 2nd class, when preceded by <maa2> PLM. See <maa2>. ; In [Rum 01E(Joy) 063] the plural form <amaa dorana amaa siisia> denotes distributional plurality.",,,grammar ; quantification,,
SN000070,other (entities),amaa_meha_maa_N,"In these NPs the plural marker <maa> PLM, which is a noun of the second class (n2), precedes the determiner <meha> 'other' as well as last noun of the NP, which can be considered as the semantic head of the NP. It is not the syntactic head, because the selection of the article and the form of the determiner is determined by the plural marker <maa>, as demonstrated by the last example with <bon> 'day' which is a noun of the 3rd class.",,,quantification,,
SN000071,some...others,LX000001,,,,grammar,,
SN000072,us (but not you),amaanam,,,,grammar,,
SN000073,me,amanaa,,,,grammar,,
SN000074,us (but not you),amanam,,,,grammar,,
SN000075,us (including you),amaraara,,,,grammar,,
SN000076,guardian and instructor of the boys going through initiation who teaches them the culture and their responsibilities in the society,amarao,,,,culture,,
SN000077,care as a guardian for someone,amarao_ni,,,,culture,,
SN000078,you (pl.) in object function,ameam,,,,grammar,,
SN000079,Americans,Amerika,,,,groups & collections ; persons,,
SN000080,you (pl.) in object function,amevuam,,,,grammar,,
SN000081,big black ant which has a stinging bite,amisina,,,,"animals, insects",,
SN000082,widow,amoba,,,,persons,,
